EPOCHS,LOSS,ACC,VAL_LOSS,VAL_ACC,TIME
36,0.009243902750313282,0.9970059990882874,0.0725984200835228,0.9636363387107849,90.25950741767883
37,0.009882135316729546,0.9970059990882874,0.02231575734913349,0.9909090995788574,91.62432789802551
38,0.009295614436268806,0.9970059990882874,0.025782685726881027,0.9909090995788574,92.91086530685425
39,0.01086551882326603,0.9970059990882874,0.09438606351613998,0.9545454382896423,90.13111305236816
40,0.005243092775344849,0.9985029697418213,0.05114900320768356,0.9727272987365723,92.74014401435852
41,0.001355301938019693,1.0,0.041045062243938446,0.9909090995788574,89.81802582740784
42,0.007581578101962805,0.9985029697418213,0.027016475796699524,0.9818181991577148,89.40585589408875
43,0.0015238445485010743,1.0,0.016866818070411682,0.9909090995788574,89.9229371547699
44,0.0014707791851833463,1.0,0.010088270530104637,1.0,89.17053651809692
45,0.0024418618995696306,0.9985029697418213,0.05124668776988983,0.9727272987365723,89.99038648605347
46,0.0016201278194785118,1.0,0.023601772263646126,0.9909090995788574,124.48780512809753
47,0.0007963756797835231,1.0,0.02170264907181263,0.9909090995788574,107.42474842071533
48,0.0027809140738099813,1.0,0.023830045014619827,0.9909090995788574,113.03874206542969
49,0.0010661116102710366,1.0,0.019688868895173073,0.9909090995788574,107.77496194839478
50,0.003644243348389864,0.9985029697418213,0.09867861121892929,0.9636363387107849,94.69616293907166
51,0.0014235400594770908,1.0,0.047353778034448624,0.9909090995788574,92.57069635391235
52,0.0012296653585508466,1.0,0.0262974314391613,0.9909090995788574,97.64249300956726
53,0.009402289055287838,0.9970059990882874,0.020190559327602386,0.9909090995788574,90.55631184577942
54,0.004393179435282946,0.9970059990882874,0.09019846469163895,0.9545454382896423,89.67854881286621
55,0.001426910050213337,1.0,0.031199807301163673,0.9818181991577148,88.80307030677795
56,0.003729876596480608,1.0,0.02647474594414234,0.9909090995788574,89.31540560722351
57,0.0007872963324189186,1.0,0.024508962407708168,0.9909090995788574,88.95716905593872
58,0.0005291361012496054,1.0,0.028400341048836708,0.9909090995788574,88.8931360244751
59,0.0005073250504210591,1.0,0.02538900636136532,0.9909090995788574,89.17472267150879
60,0.000431442866101861,1.0,0.025774460285902023,0.9909090995788574,88.99374437332153
61,0.0011433078907430172,1.0,0.015715885907411575,0.9909090995788574,90.03935408592224
62,0.00039439648389816284,1.0,0.015026455745100975,0.9909090995788574,92.64109301567078
63,0.0008238438167609274,1.0,0.03405718505382538,0.9818181991577148,89.16485500335693
64,0.0005831048474647105,1.0,0.04107215628027916,0.9818181991577148,90.15914058685303
65,0.0010145545238628983,1.0,0.06182826682925224,0.9818181991577148,91.36469507217407
66,0.024105429649353027,0.9895209670066833,0.017774023115634918,0.9909090995788574,90.8119649887085
67,0.0008265170035883784,1.0,0.02532929554581642,0.9909090995788574,91.43922805786133
68,0.010755465365946293,0.9970059990882874,0.012485572136938572,0.9909090995788574,90.11671113967896
69,0.004801974166184664,0.9970059990882874,0.017400087788701057,0.9909090995788574,89.98475623130798
